"name","province","date","value"
"icu","MB",2020-04-12,4
"icu","MB",2020-04-13,4
"icu","MB",2020-04-14,4
"icu","MB",2020-04-15,4
"icu","MB",2020-04-16,4
"icu","MB",2020-04-17,4
"icu","MB",2020-04-18,4
"icu","MB",2020-04-19,5
"icu","MB",2020-04-20,5
"icu","MB",2020-04-21,4
"icu","MB",2020-04-22,3
"icu","MB",2020-04-23,2
"icu","MB",2020-04-24,3
"icu","MB",2020-04-25,2
"icu","MB",2020-04-26,2
"icu","MB",2020-04-27,2
"icu","MB",2020-04-28,2
"icu","MB",2020-04-29,0
"icu","MB",2020-04-30,0
"icu","MB",2020-05-01,0
"icu","MB",2020-05-02,0
"icu","MB",2020-05-03,0
"icu","MB",2020-05-04,0
"icu","MB",2020-05-05,0
"icu","MB",2020-05-06,0
"icu","MB",2020-05-07,0
"icu","MB",2020-05-08,0
"icu","MB",2020-05-09,0
"icu","MB",2020-05-10,1
"icu","MB",2020-05-11,1
"icu","MB",2020-05-12,1
"icu","MB",2020-05-13,1
"icu","MB",2020-05-14,1
"icu","MB",2020-05-15,1
"icu","MB",2020-05-16,1
"icu","MB",2020-05-17,1
"icu","MB",2020-05-18,0
"icu","MB",2020-05-19,0
"icu","MB",2020-05-20,0
"icu","MB",2020-05-21,0
"icu","MB",2020-05-22,0
"icu","MB",2020-05-23,0
"icu","MB",2020-05-24,0
"icu","MB",2020-05-25,0
"icu","MB",2020-05-26,0
"icu","MB",2020-05-27,0
"icu","MB",2020-05-28,0
